year,age,sex,people
2010,0,2,493570
2010,1,2,496988
2010,10,2,511967
2010,100,2,2473
2010,101,2,1597
2010,102,2,871
2010,103,2,413
2010,104,2,229
2010,105,2,280
2010,106,2,147
2010,107,2,71
2010,108,2,21
2010,109,2,9
2010,11,2,509680
2010,110,2,38
2010,111,2,11
2010,12,2,511870
2010,13,2,521521
2010,14,2,533935
2010,15,2,544192
2010,16,2,549198
2010,17,2,557256
2010,18,2,577660
2010,19,2,582279
2010,2,2,513988
2010,20,2,577904
2010,21,2,558219
2010,22,2,546228
2010,23,2,541033
2010,24,2,545024
2010,25,2,550736
2010,26,2,540049
2010,27,2,552220
2010,28,2,552853
2010,29,2,548609
2010,3,2,518382
2010,30,2,554314
2010,31,2,518414
2010,32,2,510689
2010,33,2,503924
2010,34,2,500487
2010,35,2,514154
2010,36,2,497505
2010,37,2,501535
2010,38,2,512053
2010,39,2,536605
2010,4,2,510607
2010,40,2,559321
2010,41,2,530232
2010,42,2,513419
2010,43,2,505271
2010,44,2,509460
2010,45,2,536070
2010,46,2,538844
2010,47,2,538228
2010,48,2,531369
2010,49,2,536328
2010,5,2,506457
2010,50,2,545150
2010,51,2,518506
2010,52,2,513450
2010,53,2,502397
2010,54,2,491004
2010,55,2,487170
2010,56,2,462188
2010,57,2,443026
2010,58,2,422115
2010,59,2,406345
2010,6,2,502715
2010,60,2,405138
2010,61,2,386278
2010,62,2,380804
2010,63,2,372509
2010,64,2,311480
2010,65,2,292627
2010,66,2,279556
2010,67,2,272116
2010,68,2,247216
2010,69,2,226143
2010,7,2,499394
2010,70,2,218285
2010,71,2,205709
2010,72,2,195930
2010,73,2,184674
2010,74,2,176583
2010,75,2,169934
2010,76,2,157910
2010,77,2,152075
2010,78,2,145705
2010,79,2,143908
2010,8,2,495092
2010,80,2,139146
2010,81,2,127298
2010,82,2,119763
2010,83,2,113328
2010,84,2,106104
2010,85,2,100040
2010,86,2,89626
2010,87,2,79384
2010,88,2,70265
2010,89,2,60419
2010,9,2,506626
2010,90,2,49241
2010,91,2,37771
2010,92,2,30538
2010,93,2,23672
2010,94,2,18572
2010,95,2,14284
2010,96,2,10710
2010,97,2,7786
2010,98,2,5380
2010,99,2,3691
2011,0,2,508745
2011,1,2,491806
2011,10,2,508089
2011,100,2,1636
2011,101,2,823
2011,102,2,1508
2011,103,2,824
2011,104,2,404
2011,105,2,226
2011,106,2,261
2011,107,2,145
2011,108,2,67
2011,109,2,20
2011,11,2,513426
2011,110,2,12
2011,111,2,35
2011,112,2,11
2011,12,2,511011
2011,13,2,512942
2011,14,2,522573
2011,15,2,558246
2011,16,2,542544
2011,17,2,550735
2011,18,2,595333
2011,19,2,604466
2011,2,2,500361
2011,20,2,597253
2011,21,2,569136
2011,22,2,546416
2011,23,2,535988
2011,24,2,535483
2011,25,2,526412
2011,26,2,530279
2011,27,2,544024
2011,28,2,555569
2011,29,2,555481
2011,3,2,517172
2011,30,2,550163
2011,31,2,553063
2011,32,2,518482
2011,33,2,510060
2011,34,2,504024
2011,35,2,500216
2011,36,2,510087
2011,37,2,498153
2011,38,2,501913
2011,39,2,512842
2011,4,2,521350
2011,40,2,536895
2011,41,2,558287
2011,42,2,529727
2011,43,2,513075
2011,44,2,505042
2011,45,2,509320
2011,46,2,534596
2011,47,2,537514
2011,48,2,536358
2011,49,2,529828
2011,5,2,513307
2011,50,2,533395
2011,51,2,542652
2011,52,2,516220
2011,53,2,510863
2011,54,2,499740
2011,55,2,487162
2011,56,2,484340
2011,57,2,458964
2011,58,2,439615
2011,59,2,419300
2011,6,2,508102
2011,60,2,402529
2011,61,2,402328
2011,62,2,383639
2011,63,2,377766
2011,64,2,368392
2011,65,2,308264
2011,66,2,290171
2011,67,2,276691
2011,68,2,268890
2011,69,2,243858
2011,7,2,504202
2011,70,2,223687
2011,71,2,215088
2011,72,2,202701
2011,73,2,192002
2011,74,2,180970
2011,75,2,174246
2011,76,2,165231
2011,77,2,153463
2011,78,2,147048
2011,79,2,140606
2011,8,2,500581
2011,80,2,140647
2011,81,2,132809
2011,82,2,120810
2011,83,2,112980
2011,84,2,106223
2011,85,2,103860
2011,86,2,91591
2011,87,2,80914
2011,88,2,71166
2011,89,2,61903
2011,9,2,496383
2011,90,2,51799
2011,91,2,41662
2011,92,2,31161
2011,93,2,24579
2011,94,2,18655
2011,95,2,14030
2011,96,2,10704
2011,97,2,7661
2011,98,2,5412
2011,99,2,3535
2012,0,2,497507
2012,1,2,507877
2012,10,2,498617
2012,100,2,1364
2012,101,2,641
2012,102,2,645
2012,103,2,1462
2012,104,2,817
2012,105,2,400
2012,106,2,208
2012,107,2,259
2012,108,2,141
2012,109,2,66
2012,11,2,510085
2012,110,2,23
2012,111,2,9
2012,112,2,35
2012,113,2,11
2012,12,2,515461
2012,13,2,512789
2012,14,2,514603
2012,15,2,547630
2012,16,2,555955
2012,17,2,543850
2012,18,2,589589
2012,19,2,621669
2012,2,2,495559
2012,20,2,617215
2012,21,2,588234
2012,22,2,557680
2012,23,2,535866
2012,24,2,530285
2012,25,2,516920
2012,26,2,505386
2012,27,2,534675
2012,28,2,547741
2012,29,2,558636
2012,3,2,503884
2012,30,2,557714
2012,31,2,549775
2012,32,2,553701
2012,33,2,518469
2012,34,2,510996
2012,35,2,504510
2012,36,2,496535
2012,37,2,511199
2012,38,2,499117
2012,39,2,503338
2012,4,2,520415
2012,40,2,513751
2012,41,2,536562
2012,42,2,558477
2012,43,2,529985
2012,44,2,513252
2012,45,2,505610
2012,46,2,508664
2012,47,2,534317
2012,48,2,536525
2012,49,2,535475
2012,5,2,524218
2012,50,2,527883
2012,51,2,531590
2012,52,2,541032
2012,53,2,514345
2012,54,2,509026
2012,55,2,496690
2012,56,2,485070
2012,57,2,481971
2012,58,2,456503
2012,59,2,437538
2012,6,2,515559
2012,60,2,416194
2012,61,2,400125
2012,62,2,400041
2012,63,2,381009
2012,64,2,374367
2012,65,2,365465
2012,66,2,305726
2012,67,2,287903
2012,68,2,274011
2012,69,2,265954
2012,7,2,510366
2012,70,2,241389
2012,71,2,220908
2012,72,2,212432
2012,73,2,199285
2012,74,2,188654
